56	649
98	514
99	513
122	443
54	655
6	841
87	546
130	413
33	731
144	358
109	480
172	244
9	830
93	529
10	825
142	368
80	569
148	343
115	461
164	278
72	594
102	501
42	699
81	567
135	394
28	751
84	558
66	613
37	717
68	607
8	833
46	686
77	579
68	606
63	621
110	478
152	327
9	829
141	371
101	504
179	214
112	471
168	263
75	586
12	816
103	498
175	234
153	317
132	403
102	503
21	778
3	854
93	532
33	731
175	233
77	578
29	744
20	783
38	714
71	600
81	567
25	762
91	537
34	728
5	846
75	586
63	625
109	479
180	210
80	569
89	541
18	791
21	779
174	237
75	587
100	505
138	380
25	761
36	720
143	361
110	478
173	241
0	869
49	677
85	554
155	316
10	825
131	410
24	765
131	410
173	242
157	302
70	602
178	219
140	373
125	429
59	639
123	438
131	408
93	530
47	680
28	751
8	833
62	629
153	324
176	228
54	655
43	695
98	514
76	582
84	555
50	670
128	420
98	513
10	825
47	682
75	587
86	552
82	564
124	436
133	405
121	443
33	731
88	544
168	263
46	683
50	669
163	283
167	272
9	830
165	274
165	276
47	681
167	268
